행정동_코드,상권_변화_지표,유형_수
가락본동,['LL'],1
광희동,['HH'],1
구로2동,['HH'],1
노량진2동,['HH'],1
구로3동,['LL'],1
노량진1동,['HH'],1
내곡동,['HH'],1
남영동,['HH'],1
남가좌2동,['LL'],1
남가좌1동,['HH'],1
난향동,['LL'],1
낙성대동,['LL'],1
길음2동,['LL'],1
길동,['LL'],1
금호4가동,['LH'],1
금호2?3가동,['HH'],1
금호1가동,['LH'],1
구의3동,['HH'],1
구의2동,['LH'],1
구의1동,['HL'],1
구산동,['LL'],1
구로5동,['LL'],1
반포1동,['LL'],1
반포2동,['HH'],1
반포3동,['HH'],1
수색동,['HH'],1
송파2동,['LL'],1
송파1동,['LL'],1
가락2동,['HL'],1
송중동,['LL'],1
소공동,['HH'],1
세곡동,['LL'],1
성현동,['LL'],1
성수2가3동,['LH'],1
성수2가1동,['LL'],1
성수1가1동,['LH'],1
성산2동,['LH'],1
성산1동,['LL'],1
성내3동,['HL'],1
성내2동,['LL'],1
성내1동,['HL'],1
석촌동,['LL'],1
석관동,['HH'],1
수궁동,['LH'],1
수서동,['HH'],1
서초2동,['LL'],1
수유1동,['HL'],1
신월3동,['HL'],1
신원동,['LL'],1
신사동,['LL'],1
신사2동,['LL'],1
신림동,['LL'],1
신도림동,['LL'],1
신대방1동,['HL'],1
신내2동,['LL'],1
신내1동,['LL'],1
신길7동,['LL'],1
신길4동,['HL'],1
신길3동,['HH'],1
시흥3동,['HH'],1
시흥1동,['HH'],1
숭인2동,['HL'],1
수유3동,['LL'],1
수유2동,['LL'],1
서초3동,['HH'],1
서초1동,['HH'],1
반포4동,['HH'],1
사당2동,['HL'],1
사근동,['LH'],1
북아현동,['HH'],1
북가좌2동,['LL'],1
북가좌1동,['LL'],1
부암동,['LH'],1
보라매동,['LL'],1
번1동,['LL'],1
방화2동,['LH'],1
방화1동,['LL'],1
방학2동,['LL'],1
방학1동,['LL'],1
방이2동,['LL'],1
방이1동,['LL'],1
방배본동,['HL'],1
방배4동,['HH'],1
방배2동,['LH'],1
반포본동,['HH'],1
사당1동,['LL'],1
사당5동,['LL'],1
서원동,['LH'],1
사직동,['HH'],1
서교동,['LL'],1
서강동,['LL'],1
상암동,['LL'],1
상봉2동,['LL'],1
상봉1동,['LL'],1
상도2동,['HH'],1
상도1동,['LH'],1
상계5동,['LL'],1
상계2동,['LL'],1
상계1동,['LL'],1
상계10동,['LL'],1
삼청동,['LH'],1
삼전동,['LL'],1
삼양동,['HL'],1
삼성2동,['LL'],1
삼성1동,['LH'],1
삼각산동,['LL'],1
송천동,['HL'],1
